comments.timestamp,comments.comment,prediction,prediction_probabilite,Month,Year,Positive
2023-11-15 23:24:17+00:00,4:37 you mean you trade speed for more torque,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-11-15 08:11:27+00:00,Awesome. If it’s not broken all the time. 🤣,[[0.0]],[[1. 0.]],2023-11,2023,0.0
2023-07-26 23:23:39+00:00,"i just came here to say "" why would anyone click on this garbage"" thumbnail says enough to know it's clickbait, this crap should be able to be banned by us users",[[1.0]],[[0. 1.]],2023-07,2023,1.0
2023-07-23 20:42:39+00:00,"Some stereotypes are true.  I drive a lifted, bright yellow, Jeep, with huge tyres, small rims, lots of lights, and body armor.  I am often asked if I have a small penis.  My response is, ""I have to tell the world somehow."" Unfortunately, in reality, I really am only just a tiny bit above 8 inches. There may be some true to men compensating for small members.  Do not laugh at my small sausage.  Just admire my big jeep.",[[1.0]],[[0. 1.]],2023-07,2023,1.0
2023-07-22 11:27:18+00:00,Ok. Your jeep can climb on hills without road but who is really going there? How many? 😊,[[0.0]],[[1.000e+00 3.362e-42]],2023-07,2023,0.0
2023-07-05 07:20:00+00:00,This video is going to get people kill. Shame on you!,[[0.0]],[[1. 0.]],2023-07,2023,0.0
2023-07-02 02:45:42+00:00,"Rock walls, eh? Not as grippy as the other terrains. That was really tough. Wrangler is awesome.",[[0.0]],[[1. 0.]],2023-07,2023,0.0
2023-07-01 16:16:43+00:00,"Actually, it can come down to the spotter.  With a decent rig, all it takes is a good spotter and someone in the driver's seat that can follow directions.  The toughest obstacles I've climbed, i had no idea where i was.  I was focused on my spotters hand and only realized i was up when he dropped his hand.",[[0.0]],[[1. 0.]],2023-07,2023,0.0
2023-12-03 15:28:21+00:00,Just sad that these are so overpriced....throwing in a Hemi should not make a Jeep Wrangler cost $80k - $90k.,[[0.0]],[[1.0000000e+00 2.3405086e-08]],2023-12,2023,0.0
2023-12-02 02:43:02+00:00,Wow that's awesome absolutely  want one for sure,[[0.0]],[[1. 0.]],2023-12,2023,0.0
